Element,Density,wo,Temperature
Cr,7.75,12.5,954.2611
Ni,7.75,0.75,954.2611
C,7.75,0.115,954.2611
Mn,7.75,1.0,954.2611
Ph,7.75,0.04,954.2611
S,7.75,0.030,954.2611
Si,7.75,1.0,954.2611
Fe,7.75,84.565,954.2611
