Element,Density,wo,Temperature
Mo,8.22,8.055514,954.2611
Fe,8.22,17.997349,954.2611
Cr,8.22,22.625692,954.2611
Co,8.22,1.017898,954.2611
Mn,8.22,0.230660,954.2611
Ni,8.22,50.072887,954.2611
