Element,Density,wo,Temperature
Be,1.8493,98.802182,954.2611
O,1.8493,0.999609,954.2611
Fe,1.8493,0.137072,954.2611
Al,1.8493,0.028173,954.2611
Mn,1.8493,0.010926,954.2611
Li,1.8493,0.000030,954.2611
Co,1.8493,0.000522,954.2611
Ni,1.8493,0.021362,954.2611
Cd,1.8493,0.000020,954.2611
B,1.8493,0.000104,954.2611
