Element,Density,wo,Temperature
Ni,2.4,71.26,954.2611
Sm,2.4,16.51,954.2611
Gd,2.4,6.85,954.2611
Dy,2.4,1.25,954.2611
Nd,2.4,0.23,954.2611
O,2.4,3.90,954.2611
