Element,Density,ao,Temperature
F,4.2,0.57255,923.15
Li6,4.2,0.00018825,923.15
Li7,4.2,0.37631175,923.15
Th,4.2,0.0432,923.15
Pu238,4.2,0.000140275,923.15
Pu239,4.2,0.00458335,923.15
Pu240,4.2,0.0017794,923.15
Pu241,4.2,0.000940075,923.15
Pu242,4.2,0.0003069,923.15
