Element,Density,ao
F,3.2,0.5675
Li6,3.2,0.00019375
Li7,3.2,0.38730625
Th ,3.2,0.0399
U234,3.2,0.0051
U235,3.2,9.21E-06
U238,3.2,0.001030372870601
U236,3.2,0.004055697908982
,,4.72E-06
