Element,Density,ao,Temperature
Ni,8,8,773.15
Cr,8,0.12,773.15
Mo,8,0.17,773.15
Si,8,0.01,773.15
Mn,8,0.02,773.15
C,8,0.0008,773.15
P,8,0.00045,773.15
S,8,0.0003,773.15
Fe,8,0.65345,773.15
