Element,Density,ao,Temperature
F,2.2,0.585,923.15
Li6,2.2,0.000125,923.15
Li7,2.2,0.249875,923.15
Be,2.2,0.16,923.15
Pu238,2.2,7.32E-05,923.15
Pu239,2.2,3.18E-03,923.15
Pu240,2.2,0.00128785,923.15
Pu241,2.2,0.00017785,923.15
Pu242,2.2,2.80E-04,923.15
