Element,Density,wo,Temperature
Li7,2.3275,0.109566,911.15
Be,2.3275,0.063492,911.15
Zr,2.3275,0.111013,911.15
Hf,2.3275,1E-06,911.15
U234,2.3275,0.000144,911.15
U235,2.3275,0.014093,911.15
U236,2.3275,5.9E-05,911.15
U238,2.3275,0.030652,911.15
Fe,2.3275,0.000162,911.15
Cr,2.3275,2.8E-05,911.15
Ni,2.3275,3E-05,911.15
O,2.3275,0.00049,911.15
F,2.3275,0.67027,911.15
